Country,Population,Area in sq km,Population Density per sq km
Cote d'Ivoire,23295302.0,322463.0,72.2417827781792
Senegal,13975834.0,196722.0,71.0435741808237
Georgia,4931226.0,69700.0,70.74929698708752
Samoa,197773.0,2831.0,69.8597668668315
Ireland,4892305.0,70273.0,69.61855904828312
United Arab Emirates,5779760.0,83600.0,69.13588516746411
Burkina Faso,18931686.0,274200.0,69.04334792122539
French Polynesia,282703.0,4167.0,67.84329253659708
Tunisia,11037225.0,163610.0,67.46057698184707
Uzbekistan,29199942.0,447400.0,65.26585158694681
Bulgaria,7186893.0,110879.0,64.81744063348334
Lesotho,1947701.0,30355.0,64.16409158293527
Mexico,121736809.0,1964375.0,61.972285841552655
Norfolk Island,2210.0,36.0,61.388888888888886
Tajikistan,8191958.0,143100.0,57.24638714185884
Ecuador,15868396.0,283561.0,55.96113710982822
Eritrea,6527689.0,117600.0,55.507559523809526
Virgin Islands,103574.0,1910.0,54.227225130890055
Tanzania,51045882.0,947300.0,53.88565607516098
Turks and Caicos Islands,50280.0,948.0,53.037974683544306
Montserrat,5241.0,102.0,51.38235294117647
Yemen,26737317.0,527968.0,50.64192716225226
Cameroon,23739218.0,475440.0,49.93104913343429
Afghanistan,32564342.0,652230.0,49.92769728470018
Fiji,909389.0,18274.0,49.764091058334245
Iran,81824270.0,1648195.0,49.64477504178814
Panama,3657024.0,75420.0,48.48878281622912
Guinea,11780162.0,245857.0,47.91469024676946
Guinea-Bissau,1726170.0,36125.0,47.78325259515571
Montenegro,647073.0,13812.0,46.84860990443093
Palau,21265.0,459.0,46.328976034858385
Belarus,9589689.0,207600.0,46.193106936416186
Nicaragua,5907881.0,130370.0,45.31626140983355
Lithuania,2884433.0,65300.0,44.172021439509955
South Africa,53675563.0,1219090.0,44.02920457062235
Cocos (Keeling) Islands,596.0,14.0,42.57142857142857
Cook Islands,9838.0,236.0,41.686440677966104
Colombia,46736728.0,1138910.0,41.036366350282286
Madagascar,23812681.0,587041.0,40.56391461584455
Liberia,4195666.0,111369.0,37.6735536819043
Zimbabwe,14229541.0,390757.0,36.41531949523617
Faroe Islands,50196.0,1393.0,36.034458004307254
Djibouti,828324.0,23200.0,35.703620689655175
"Congo, Democratic Republic of the",79375136.0,2344858.0,33.85072187740153
United States,321368864.0,9826675.0,32.70372369087204
Venezuela,29275460.0,912050.0,32.09852530014802
Mozambique,25303113.0,799380.0,31.65342265255573
Latvia,1986705.0,64589.0,30.759185000541887
Laos,6911544.0,236800.0,29.187263513513514
Kyrgyzstan,5664939.0,199951.0,28.331636250881466
Estonia,1265420.0,45228.0,27.978685769877067
Equatorial Guinea,740743.0,28051.0,26.40700866279277
"Saint Helena, Ascension, and Tristan da Cunha",7795.0,308.0,25.308441558441558
Brazil,204259812.0,8514877.0,23.988580457474605
Peru,30444999.0,1285216.0,23.688624324627146
"Bahamas, The",324597.0,13880.0,23.385951008645534
Saint Pierre and Miquelon,5657.0,242.0,23.376033057851238
Chile,17508260.0,756102.0,23.15594985861696
Vanuatu,272264.0,12189.0,22.336861104274345
Sweden,9801616.0,450295.0,21.7670993459843
